id,Name,Author,User Rating,Reviews,Price,Year,Genre,gb_categories,gb_avgRating,gb_ratingsCount,gb_publisher,gb_publishedDate,gb_pageCount,gb_language
90,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,4.6,2134,5,2015,Non Fiction,Design,,,Courier Corporation,1992-10-02,68.0,en
91,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,Non Fiction,Business & Economics,4.5,11.0,Penguin,2011-04-05,275.0,en
92,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,720,1,2009,Non Fiction,Health & Fitness,4.5,5.0,Rodale Books,2008-12-30,336.0,en
93,"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,956,14,2009,Non Fiction,,,,,,,
94,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2011,Non Fiction,,,,,,,
95,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,6346,9,2012,Non Fiction,,,,,,,
96,Eclipse (Twilight Sagas),Stephenie Meyer,4.7,5505,7,2009,Fiction,,,,,,,
97,Eclipse (Twilight),Stephenie Meyer,4.7,5505,18,2009,Fiction,Juvenile Fiction,,,,2007-09-30,637.0,es
98,Educated: A Memoir,Tara Westover,4.7,28729,15,2018,Non Fiction,,,,Hutchinson,2018-02-15,400.0,en
99,Educated: A Memoir,Tara Westover,4.7,28729,15,2019,Non Fiction,,,,Hutchinson,2018-02-15,400.0,en
100,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…",Johanna Basford,4.7,5413,9,2015,Non Fiction,,,,,,,
101,Fahrenheit 451,Ray Bradbury,4.6,10721,8,2016,Fiction,Book burning in literature,,,Infobase Publishing,2008,142.0,en
102,Fahrenheit 451,Ray Bradbury,4.6,10721,8,2018,Fiction,Book burning in literature,,,Infobase Publishing,2008,142.0,en
103,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),J.K. Rowling,4.7,4370,15,2016,Fiction,,,,,,,
104,Fear: Trump in the White House,Bob Woodward,4.4,6042,2,2018,Non Fiction,Political Science,,,Simon & Schuster,2019-09-10,448.0,en
105,Fifty Shades Darker,E L James,4.4,23631,7,2012,Fiction,Fiction,,,Arrow,2017-11-28,560.0,en
106,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,11,2012,Fiction,,,,,,,
107,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2012,Fiction,,,,,,,
108,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,14,2013,Fiction,,,,,,,
109,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,32,2012,Fiction,Fiction,,,Random House Large Print,2012-06-26,0.0,en
110,Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,6,2018,Non Fiction,Political Science,3.5,24.0,Henry Holt and Company,2018-01-05,217.0,en
111,First 100 Words,Roger Priddy,4.7,17323,4,2014,Non Fiction,Juvenile Nonfiction,,,Macmillan,2005-08,16.0,en
112,First 100 Words,Roger Priddy,4.7,17323,4,2015,Non Fiction,Juvenile Nonfiction,,,Macmillan,2005-08,16.0,en
113,First 100 Words,Roger Priddy,4.7,17323,4,2016,Non Fiction,Juvenile Nonfiction,,,Macmillan,2005-08,16.0,en
114,First 100 Words,Roger Priddy,4.7,17323,4,2017,Non Fiction,Juvenile Nonfiction,,,Macmillan,2005-08,16.0,en
115,First 100 Words,Roger Priddy,4.7,17323,4,2018,Non Fiction,Juvenile Nonfiction,,,Macmillan,2005-08,16.0,en
116,Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Non Fiction,Health & Fitness,4.0,3.0,Penguin,2009-12-29,162.0,en
117,Frozen (Little Golden Book),RH Disney,4.7,3642,0,2014,Fiction,,,,,2013,,en
118,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,Non Fiction,Political Science,3.0,1.0,Harper Collins,2010-01-26,724.0,en
119,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2011,Fiction,,,,,,,
120,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2012,Fiction,,,,,,,
121,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,5,2013,Fiction,,,,,,,
122,George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction,,,,,2006,0.0,en
123,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,16,2013,Non Fiction,History,4.5,4.0,Penguin,2013-11-05,226.0,en
124,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2015,Fiction,Juvenile Fiction,,,Hachette UK,2015-12-17,33.0,en
125,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2016,Fiction,Juvenile Fiction,,,Hachette UK,2015-12-17,33.0,en
126,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2017,Fiction,Juvenile Fiction,,,Hachette UK,2015-12-17,33.0,en
127,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2018,Fiction,Juvenile Fiction,,,Hachette UK,2015-12-17,33.0,en
128,Giraffes Can't Dance,Giles Andreae,4.8,14038,4,2019,Fiction,Juvenile Fiction,,,Hachette UK,2015-12-17,33.0,en
